"text_string"	"ignore"	"alias_to"	"lang"
"jerusalem jerusalem"	0	"jerusalem israel"	"en"
"new yorker"	1		"en"
"cynthia"	1		"en"
"united states america"	0	"united states"	"en"
"hessian"	1		"en"
"chapel"	1		"en"
"barney"	1		"en"
"lord baltimore"	1		"en"
"darwin"	1		"en"
"africans"	1		"en"
"heath"	1		"en"
"old lone house"	1		"en"
"egremond"	1		"en"
"harlington"	1		"en"
"horace"	1		"en"
"lillie"	1		"en"
"great river"	1		"en"
"st evremond"	1		"en"
"mme"	1		"en"
"creole"	1		"en"
"st bernard"	1		"en"
"lodge"	1		"en"
"excelsis"	1		"en"
"gloria"	1		"en"
"habakkuk"	1		"en"
"sally"	1		"en"
"st agnes"	1		"en"
"mount transfiguration"	0	"mount tabor israel"	"en"
"olympia"	1		"en"
"socrates"	1		"en"
"eudocia"	1		"en"
"ephesians"	1		"en"
"bounty"	1		"en"
"wharton"	1		"en"
"middle"	1		"en"
"hapsburg"	1		"en"
"calhoun"	1		"en"
"copperhead"	1		"en"
"barbara"	1		"en"
"wilton"	1		"en"
"belle"	1		"en"
"eudora"	1		"en"
"prudy"	1		"en"
"nellie"	1		"en"
"phelps"	1		"en"
"roswell"	1		"en"
"dewitt"	1		"en"
"woods"	1		"en"
"british america"	0	"united states"	"en"
"europe asia"	1		"en"
"angel"	1		"en"
"st johns"	1		"en"
"meta"	1		"en"
"stirling"	1		"en"
"grafton"	1		"en"
"morven"	1		"en"
"aurora borealis"	1		"en"
"nettie"	1		"en"
"cornish"	1		"en"
"lola"	1		"en"
"violet"	1		"en"
"cedar"	1		"en"
"sycamore"	1		"en"
"chinese"	1		"en"
"pine grove"	1		"en"
"carlo"	1		"en"
"pelham"	1		"en"
"floridy"	0	"florida"	"en"
"wentworth"	1		"en"
"heywood"	1		"en"
"episcopal church"	1		"en"
"new yorkers"	1		"en"
"freehold"	1		"en"
"sand hills"	1		"en"
"desert"	1		"en"
"sacristy"	1		"en"
"mother superior"	1		"en"
"new york philadelphia"	1		"en"
"hecate"	1		"en"
"prairies"	1		"en"
"boadicea"	1		"en"
"somerville somerville"	1		"en"
"tanglewood"	1		"en"
"sallie"	1		"en"
"cinderella"	1		"en"
"cobb"	1		"en"
"elwood"	1		"en"
"staples"	1		"en"
"isa"	1		"en"
"romish church"	1		"en"
"revere"	1		"en"
"parsonage"	1		"en"
"miss virginia"	1		"en"
"south side madeira"	1		"en"
"trinity"	1		"en"
"roselle"	1		"en"
"milly"	1		"en"
"aspen"	1		"en"
"sanscrit"	1		"en"
"worth"	1		"en"
"st alban"	1		"en"
"remsen"	1		"en"
"roman church"	1		"en"
"hetty"	1		"en"
"earles"	1		"en"
"cecil"	1		"en"
"fra angelico"	1		"en"
"pietro"	1		"en"
"piazza di spagna"	0	"piazza di spagne rome italy"	"en"
"caliban"	1		"en"
"jupe"	1		"en"
"hibernians"	1		"en"
"south sea islanders"	1		"en"
"st barbara"	1		"en"
"vaughan"	1		"en"
"magdalen"	1		"en"
"reproach"	1		"en"
"st simon"	1		"en"
"europa"	0	"europe"	"en"
"roland roland"	1		"en"
"rue la paix"	0	"rue de la paix paris"	"en"
"paris paris"	1		"en"
"hellas"	0	"greece"	"en"
"ulysses"	1		"en"
"hecuba"	1		"en"
"electra"	1		"en"
"iphigenia"	1		"en"
"pallas"	1		"en"
"thou knowest"	1		"en"
"jungfrau"	0	"jungfrau switzerland"	"en"
"st cloud"	1		"en"
"leon"	1		"en"
"san miguel"	1		"en"
"turkey creek"	1		"en"
"san carlos"	1		"en"
"crow"	1		"en"
"cuba cuba"	1		"en"
"webster"	1		"en"
"mingo"	1		"en"
"palisade"	1		"en"
"bentley"	1		"en"
"harley"	1		"en"
"bacon"	1		"en"
"berkeley"	1		"en"
"flora flora flora"	1		"en"
"surry"	1		"en"
"neville"	1		"en"
"rochambeau"	1		"en"
"arnold"	1		"en"
"smith"	1		"en"
"hacienda"	1		"en"
"virginia virginia"	1		"en"
"virginia virginia virginia virginia"	1		"en"
"mortons"	1		"en"
"virginia virginia virginia"	1		"en"
"caleb"	1		"en"
"ernest"	1		"en"
"south branch"	1		"en"
"st clair"	1		"en"
"wilkes"	1		"en"
"providence providence"	1		"en"
"saratoga springs"	0	"saratoga springs ny"	"en"
"florence hamilton"	1		"en"
"lionel"	1		"en"
"pere la chaise"	0	"pere lachaise paris france"	"en"
"chelonians"	1		"en"
"cromwell"	1		"en"
"nebuchadnezzar"	1		"en"
"lord harcourt"	1		"en"
"pierre"	1		"en"
"clifford"	1		"en"
"nineveh"	0	"mosul iraq"	"en"
"francisco"	1		"en"
"stella"	1		"en"
"p s "	1		"en"
"percha"	1		"en"
"ehrenstein"	1		"en"
"annie"	1		"en"
"rashleigh"	1		"en"
"moreton"	1		"en"
"mahala"	1		"en"
"neapolitan"	1		"en"
"spithead"	1		"en"
"royal george"	1		"en"
"vail"	1		"en"
"father antonio"	1		"en"
"virgin mother"	1		"en"
"celestial country"	1		"en"
"alpha"	1		"en"
"salvation"	1		"en"
"brahma"	1		"en"
"arabian"	1		"en"
"siam"	0	"thailand"	"en"
"danes"	1		"en"
"esquimaux"	1		"en"
"wakefield"	1		"en"
"mabel"	1		"en"
"stratford"	1		"en"
"leila"	1		"en"
"albany street"	0	"albany street london england uk"	"en"
"aunt fanny"	1		"en"
"portia"	1		"en"
"emilia"	1		"en"
"lord loveth"	1		"en"
"carrie"	1		"en"
"indies"	0	"west indies"	"en"
"pa "	0	"pennsylvania"	"en"
"europe esq "	1		"en"
"bay state"	0	"massachusetts usa"	"en"
"eleanore"	1		"en"
"cornelia"	1		"en"
"empire"	1		"en"
"hindoo"	1		"en"
"alla"	1		"en"
"roman empire"	1		"en"
"isabelle"	1		"en"
"king louis"	1		"en"
"new york esq esq "	1		"en"
"boston esq "	1		"en"
"lilliput"	1		"en"
"miss woodville"	1		"en"
"ravenswood"	1		"en"
"clermont"	1		"en"
"dallas dallas"	1		"en"
"aubrey"	1		"en"
"st andrew"	1		"en"
"waccamaw"	0	"waccamaw river"	"en"
"mohammedan"	1		"en"
"elfrida"	1		"en"
"lou"	1		"en"
"richland"	1		"en"
"west bank"	1		"en"
"ephraim"	1		"en"
"heavens"	1		"en"
"earl leicester"	1		"en"
"jephthah"	1		"en"
"ball"	1		"en"
"german"	1		"en"
"wadsworth"	1		"en"
"northern new york"	0	"new york state"	"en"
"hells"	1		"en"
"gifford"	1		"en"
"jane"	1		"en"
"victor"	1		"en"
"colonel beaufort"	1		"en"
"colburne"	1		"en"
"down east"	0	"maine"	"en"
"town"	1		"en"
"irvine"	1		"en"
"swansea"	1		"en"
"upper tendom"	1		"en"
"gracie gracie gracie"	1		"en"
"gracie gracie"	1		"en"
"gabrielle"	1		"en"
"ahem"	1		"en"
"tarpeian rock"	0	"rome italy"	"en"
"hill"	1		"en"
"dolphin"	1		"en"
"harry gray"	1		"en"
"france england"	1		"en"
"american states"	0	"united states"	"en"
"st benedict"	1		"en"
"st gregory"	1		"en"
"vesuvius"	0	"mount vesuvius italy"	"en"
"casa"	1		"en"
"macbeth"	1		"en"
"tasso"	1		"en"
"luigi"	1		"en"
"england france"	1		"en"
"caesarea"	1		"en"
"falernian"	1		"en"
"rome rome"	1		"en"
"antonia"	1		"en"
"gilgal"	1		"en"
"uncle ned"	1		"en"
"oakhurst"	1		"en"
"lafourche"	1		"en"
"limekiln"	1		"en"
"polk"	1		"en"
"bruin"	1		"en"
"philadelphian"	1		"en"
"hastings"	1		"en"
"pedlington"	1		"en"
"lady suffolk"	1		"en"
"brahmin"	1		"en"
"ward"	1		"en"
"benjamin"	1		"en"
"bro bro"	1		"en"
"seton"	1		"en"
"lord north"	1		"en"
"humankind"	1		"en"
"thou hast"	1		"en"
"st leger"	1		"en"
"republic france"	0	"france"	"en"
"irishmen"	1		"en"
"isle"	1		"en"
"king"	1		"en"
"great"	1		"en"
"norland"	1		"en"
"hermon"	0	"mount hermon syria"	"en"
"xenia"	1		"en"
"green mountains vermont"	0	"green mountains"	"en"
"georgiana"	1		"en"
"mis"	1		"en"
"new york ledger"	1		"en"
"fort lafayette"	0	"brooklyn ny"	"en"
"waltham"	1		"en"
"carson"	1		"en"
"south platte"	1		"en"
"leviathan"	1		"en"
"richelieu"	1		"en"
"wells"	1		"en"
"prado"	1		"en"
"tagus"	0	"tagus river"	"en"
"saracens"	1		"en"
"valetta"	0	"valetta malta"	"en"
"syra"	0	"syros greece"	"en"
"grecian archipelago"	0	"greece"	"en"
"esdraelon"	0	"jezreel israel"	"en"
"chile chile chile"	1		"en"
"libery"	1		"en"
"louise"	1		"en"
"road"	1		"en"
"glades"	1		"en"
"france italy"	1		"en"
"roman republic"	1		"en"
"papacy"	1		"en"
"pius"	1		"en"
"cochin china"	0	"vietnam"	"en"
"woodstock"	1		"en"
"terra"	1		"en"
"lowlands"	1		"en"
"sisera"	1		"en"
"gath"	1		"en"
"copley"	1		"en"
"boston washington"	1		"en"
"virginia washington"	1		"en"
"new york island"	0	"manhattan"	"en"
"strangeways"	1		"en"
"harcourt"	1		"en"
"heights"	1		"en"
"tamerlane"	1		"en"
"henderson"	1		"en"
"mount calvary"	0	"jerusalem israel"	"en"
"romans"	1		"en"
"napoleon"	1		"en"
"mother earth"	1		"en"
"orlando orlando"	1		"en"
"equator"	1		"en"
"wood hill"	1		"en"
"heart"	1		"en"
"st clare"	1		"en"
"st jerome"	1		"en"
"st lazare"	1		"en"
"thorndale"	1		"en"
"ginevra"	1		"en"
"isola"	1		"en"
"zenobia"	1		"en"
"forbes"	1		"en"
"havanna"	0	"havana"	"en"
"london paris"	1		"en"
"longstreet"	1		"en"
"haverhill"	1		"en"
"united states esq "	1		"en"
"boston mass "	0	"boston ma"	"en"
"greeley"	1		"en"
"queen sheba"	1		"en"
"ely"	1		"en"
"sart"	1		"en"
"covington"	1		"en"
"milwaukie"	0	"milwaukee"	"en"
"theatre"	1		"en"
"cush"	1		"en"
"sinclair"	1		"en"
"isaac"	1		"en"
"lavinia"	1		"en"
"em"	1		"en"
"san pedro"	1		"en"
"carlotta carlotta"	1		"en"
"picton"	1		"en"
"black"	1		"en"
"erskine"	1		"en"
"lady clara"	1		"en"
"grove"	1		"en"
"li"	1		"en"
"kenilworth"	1		"en"
"ware"	1		"en"
"place greve"	0	"4 place de l hotel de ville paris france"	"en"
"st denis"	1		"en"
"st genevieve"	1		"en"
"foundling hospital"	1		"en"
"louis xv"	1		"en"
"brennus"	1		"en"
"sind"	1		"en"
"hartz"	0	"hartz mountains"	"en"
"howdy"	1		"en"
"zebulon"	1		"en"
"lillian"	1		"en"
"catharine"	1		"en"
"clara clara clara"	1		"en"
"eyrie"	1		"en"
"winona"	1		"en"
"mass"	1		"en"
"longinus"	1		"en"
"san marco"	1		"en"
"devil"	1		"en"
"alsatia"	1		"en"
"phillis"	1		"en"
"red lion"	1		"en"
"samuel"	1		"en"
"rebecca"	1		"en"
"willard"	1		"en"
"welland"	1		"en"
"throckmorton"	1		"en"
"surinam"	0	"suriname"	"en"
"ophelia"	1		"en"
"murray"	1		"en"
"dolorosa"	1		"en"
"anita"	1		"en"
"lynch"	1		"en"
"nadab"	1		"en"
"jer"	1		"en"
"dantzic"	0	"gdansk poland"	"en"
"colonel beverly"	1		"en"
"catacombs"	1		"en"
"sta"	1		"en"
"santa anna"	1		"en"
"goree"	1		"en"
"longitude"	1		"en"
"cape eternity"	1		"en"
"israel putnam"	1		"en"
"salina"	1		"en"
"honora"	1		"en"
"percy"	1		"en"
"psa"	1		"en"
"eph"	1		"en"
"sands"	1		"en"
"etta"	1		"en"
"sapphira"	1		"en"
"nat"	1		"en"
"owen"	1		"en"
"aurora aurora"	1		"en"
"richmond richmond"	0	"richmond virginia"	"en"
"emerald"	1		"en"
"ridge"	1		"en"
"lisle de lisle"	1		"en"
"stuart"	1		"en"
"huldah"	1		"en"
"eglantine"	1		"en"
"welby"	1		"en"
"eulalia"	1		"en"
"south pass"	1		"en"
"patroon"	1		"en"
"maine law"	1		"en"
"glendale"	1		"en"
"castle"	1		"en"
"smiley"	1		"en"
"kittery"	1		"en"
"st croix"	1		"en"
"minot"	1		"en"
"strait"	1		"en"
"ion"	1		"en"
"st johnsbury"	1		"en"
"hendrick hudson"	1		"en"
"olney"	1		"en"
"lycidas"	1		"en"
"fannin"	1		"en"
"monte"	1		"en"
"zerah"	1		"en"
"metamoras"	1		"en"
"pulaski"	1		"en"
"breckenridge"	1		"en"
"rosecrans"	1		"en"
"south park"	1		"en"
"washington washington washington"	1		"en"
"magnolia"	1		"en"
"papal states"	0	"italy"	"en"
"lucina"	1		"en"
"annunciation"	1		"en"
"san carlo"	1		"en"
"st sophia"	1		"en"
"miggles"	1		"en"
"overland"	1		"en"
"lower town"	1		"en"
"californian"	1		"en"
"kanaka"	1		"en"
"koran"	1		"en"
"tauris"	0	"crimea ukraine"	"en"
"virginia esq "	1		"en"
"mokelumne"	0	"mokelumne hill"	"en"
"cleaveland"	0	"cleveland"	"en"
"lollards"	1		"en"
"san jago"	1		"en"
"garron"	1		"en"
"woodbine"	1		"en"
"mrs gray"	1		"en"
"old port"	1		"en"
"turkey turkey"	0	"turkey"	"en"
"boston massachusetts"	1		"en"
"inquisition"	1		"en"
"harrodsburgh"	0	"harrodsburg"	"en"
"northern ohio"	0	"ohio"	"en"
"squaw"	1		"en"
"tudor"	1		"en"
"gorham"	1		"en"
"middle street"	1		"en"
"harrow"	1		"en"
"st maria"	1		"en"
"senora"	1		"en"
"pico"	1		"en"
"juba juba"	1		"en"
"theodora"	1		"en"
"noo york"	0	"new york city ny"	"en"
"uncle ebenezer"	1		"en"
"aurelia"	1		"en"
"silvia"	1		"en"
"palest"	1		"en"
"lord fairfax"	1		"en"
"lowland"	1		"en"
"fort cumberland"	0	"cumberland md"	"en"
"jackson"	1		"en"
"london esq "	1		"en"
"lady augusta"	1		"en"
"pendleton"	1		"en"
"wendover"	1		"en"
"strafford"	1		"en"
"mosby"	1		"en"
"selma"	1		"en"
"westover"	1		"en"
"st george channel"	1		"en"
"earle"	1		"en"
"hollywood"	1		"en"
"sweeny"	1		"en"
"presbyterian church"	1		"en"
"warrenton springs"	0	"warrenton"	"en"
"north carolinian"	1		"en"
"louis xiv "	1		"en"
"roslyn"	1		"en"
"estelle"	1		"en"
"st ann"	1		"en"
"romish"	1		"en"
"wyndham"	1		"en"
"lord huntington"	1		"en"
"st john wood"	1		"en"
"london bart "	1		"en"
"lavington"	0	"lavington england"	"en"
"lacy"	1		"en"
"tamworth"	1		"en"
"whin"	1		"en"
"sybil"	1		"en"
"eda"	1		"en"
"rutherford"	1		"en"
"oakwood"	1		"en"
"erin"	1		"en"
"colombia"	0	"columbia"	"en"
"fuller"	1		"en"
"roscommon"	1		"en"
"hermione"	1		"en"
"sarah"	1		"en"
"herman"	1		"en"
"little britain"	1		"en"
"meredith"	1		"en"
"riverside"	1		"en"
"galignani"	1		"en"
"blithedale"	1		"en"
"pinewood"	1		"en"
"wight"	0	"isle of wight"	"en"
"zuleika"	1		"en"
"adelaide adelaide adelaide adelaide"	1		"en"
"hollister"	1		"en"
"harrisburgh"	0	"harrisburg"	"en"
"thyatira"	0	"akhisar turkey"	"en"
"pontius pilate"	1		"en"
"galatia"	1		"en"
"church england"	1		"en"
"pembroke"	1		"en"
"new boston"	1		"en"
"aunt maria"	1		"en"
"aztecs"	1		"en"
"pepita"	1		"en"
"south church"	1		"en"
"cremona"	1		"en"
"marshall"	1		"en"
"grange"	1		"en"
"augusta augusta"	1		"en"
"holloa"	1		"en"
"rainsford"	1		"en"
"great britian"	0	"great britain"	"en"
"sibyl"	1		"en"
"laurens"	1		"en"
"cloisterham"	1		"en"
"durdles"	1		"en"
"head haven"	1		"en"
"gate house"	1		"en"
"billickin"	1		"en"
"datchery"	1		"en"
"sapsea"	1		"en"
"italian"	1		"en"
"gonzalvo"	1		"en"
"garden eden"	1		"en"
"st elizabeth"	1		"en"
"sherwood"	1		"en"
"ruby"	1		"en"
"loretto"	1		"en"
"old homestead"	1		"en"
"tara"	1		"en"
"miss fairfield"	1		"en"
"allah"	1		"en"
"granby"	1		"en"
"paulo"	1		"en"
"ashburton"	1		"en"
"shiloah"	1		"en"
"bradford"	1		"en"
"lowndes"	1		"en"
"sylvia"	1		"en"
"austin austin"	1		"en"
"waverly"	1		"en"
"st catharines"	1		"en"
"ninetta"	1		"en"
"paladin"	1		"en"
"gulietta"	1		"en"
"larne"	1		"en"
"ferris"	1		"en"
"aunt augusta"	1		"en"
"rosetta"	1		"en"
"grand lodge"	1		"en"
"willow glen"	1		"en"
"redwood"	1		"en"
"colonel belleville"	1		"en"
"fredonia"	1		"en"
"morton"	1		"en"
"peacham"	1		"en"
"westville"	1		"en"
"lord grey"	1		"en"
"western africa"	0	"africa"	"en"
"pesth"	0	"budapest hungary"	"en"
"paterson"	1		"en"
"palm tree"	1		"en"
"san cristoval"	1		"en"
"terry"	1		"en"
"russell square"	1		"en"
"vivia"	1		"en"
"leicester leicester"	1		"en"
"uncle simon"	1		"en"
"wilford"	1		"en"
"lida"	1		"en"
"county new york"	1		"en"
"zilpha"	1		"en"
"quincy"	1		"en"
"khorassan"	0	"iran"	"en"
"st catherine"	1		"en"
"cove"	1		"en"
"city hospital"	1		"en"
"palatinate"	1		"en"
"valentia"	1		"en"
"bon homme richard"	1		"en"
"rothsay"	1		"en"
"aunt lois"	1		"en"
"lord strafford"	1		"en"
"walworth"	1		"en"
"monrovia"	0	"monrovia liberia"	"en"
"estella"	1		"en"
"sedgefield"	1		"en"
"goblin"	1		"en"
"upper california"	0	"california usa"	"en"
"san pablo"	1		"en"
"amerika"	0	"united states"	"en"
"old manse"	1		"en"
"miss florence"	1		"en"
"crissy"	1		"en"
"massaroni"	1		"en"
"mungo"	1		"en"
"amerikin"	1		"en"
"thekla"	1		"en"
"alba"	1		"en"
"st barnabas"	1		"en"
"aunt clara"	1		"en"
"scio"	1		"en"
"ahab"	1		"en"
"sea gull"	1		"en"
"elephanta"	1		"en"
"china china"	1		"en"
"pequod"	1		"en"
"los angelos"	1		"en"
"tula"	1		"en"
"wilhelmina"	1		"en"
"wyoming valley"	0	"wyoming"	"en"
"leoline"	1		"en"
"valle"	1		"en"
"brierly"	1		"en"
"monte rosa"	0	"monte rosa switzerland"	"en"
"west coast"	0	"#west usa"	"en"
"southwest"	0	"#west usa"	"en"
"midwest"	0	"#midwest usa"	"en"
"middle west"	0	"#midwest usa"	"en"
"east coast"	0	"#east usa"	"en"
"southern states"	0	"#south usa"	"en"
"far west"	0	"#west usa"	"en"
"dixie"	0	"#south usa"	"en"
"northern states"	0	"#north usa"	"en"
"western states"	0	"#west usa"	"en"
"eastern states"	0	"#east usa"	"en"
"new england states"	0	"#new england usa"	"en"
"plains"	0	"#west usa"	"en"
"gulf states"	0	"#south usa"	"en"
"atlantic states"	0	"#east usa"	"en"
"cotton states"	0	"#south usa"	"en"
"new england"	0	"#new england usa"	"en"
"yankeedom"	0	"#north usa"	"en"
"confederate states"	0	"#south usa"	"en"
"union"	0	"#north usa"	"en"
"confederacy"	0	"#south usa"	"en"
"south west"	0	"#west usa"	"en"
"free states"	0	"#north usa"	"en"
"secessia"	0	"#south usa"	"en"
"new england new england"	0	"#new england usa"	"en"
"great west"	0	"#west usa"	"en"
"slave states"	0	"#south usa"	"en"
"east"	1	"#east usa"	"en"
"west"	1	"#west usa"	"en"
"north"	1	"#north usa"	"en"
"south"	1	"#south usa"	"en"
